DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
20-02-19,66.25,67.8,65.9,66.2,631279,1262
19-02-19,64.65,67.15,64.65,65.85,154999,748
18-02-19,69.4,69.5,65.1,65.4,401678,1693
15-02-19,68.8,70.2,66.55,69.25,729756,2383
14-02-19,64.55,67.85,64.55,67.6,340408,1165
13-02-19,66.35,68.1,64.65,65.15,1648713,2672
12-02-19,66,67.2,65.5,66.35,252285,1458
11-02-19,68.1,68.55,65.4,65.7,801802,1807
08-02-19,69.3,70.4,68.1,68.65,183059,852
07-02-19,70.9,70.9,69.25,69.45,340425,1011
06-02-19,69.55,71,68.4,70.2,273071,1086
05-02-19,70.5,71.6,69.3,69.85,316200,1651
04-02-19,71.55,71.55,69.55,70.5,359053,2709
01-02-19,71,72.2,70.25,71.45,1474499,1394
31-01-19,68.75,71.8,67.95,71.3,1481542,3639
30-01-19,71.45,71.7,67.75,68.05,390196,2165
29-01-19,68.75,72.3,68.45,71,944213,2858
28-01-19,74.1,74.1,69.6,70.8,1444897,2523
25-01-19,74.55,75.25,73.45,73.95,1210680,1469
24-01-19,75.6,75.65,74.2,74.6,159951,915
23-01-19,77.1,77.9,74.85,75.25,369254,1332
22-01-19,75.8,77.5,74.95,76.3,167532,520
21-01-19,76,77.15,75.35,75.95,2127398,2014
18-01-19,76.4,76.4,75.1,76,2384319,969
17-01-19,76.5,76.85,74.9,76,1174900,1662
16-01-19,75.45,76.75,74.65,76.25,2862658,2368
15-01-19,74.55,75.25,74.35,74.95,442625,1022
14-01-19,74.95,74.95,73.6,74.15,421559,984
11-01-19,74.9,75.25,73.8,75,580505,1470
10-01-19,74.1,74.95,73.85,74.8,418915,947
09-01-19,75.1,75.35,73.85,74.3,435508,943
08-01-19,74.7,75.4,74.5,74.85,132974,754
07-01-19,75.35,75.7,74.25,74.7,131916,1027
04-01-19,74,75.5,73.8,75.15,300039,945
03-01-19,75.8,76.2,73.9,74.15,345594,1658
02-01-19,76.7,76.7,74.5,74.85,1032369,1817
01-01-19,76.2,77.3,76.2,76.85,158647,561
31-12-18,77.05,77.9,76.45,76.75,254997,998
28-12-18,77.2,77.8,76.85,77.15,220954,1339
27-12-18,76.25,77.6,75.6,77,1756358,2788
26-12-18,76.7,77.15,74.95,75.95,1275856,1724
24-12-18,76.15,78.5,76.15,76.75,424915,1486
21-12-18,80.5,80.5,76.1,76.5,722703,2944
20-12-18,77.1,80.65,76.55,80.1,634636,2260
19-12-18,78.85,80.2,78.75,79.45,611002,1273
18-12-18,77.7,78.9,77.45,78.7,568612,1268
17-12-18,79.9,80.55,77.4,77.8,577935,1317
